Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
"GAME2","P1-77ce50","Select Category","2025-11-27T11:53:10.238871Z","Variables & Data Types",,,,800
"GAME2","P1-77ce50","Select Question","2025-11-27T11:53:13.259516100Z","Variables & Data Types",400,,,800
"GAME2","P1-77ce50","Answer Question","2025-11-27T11:53:19.070021Z","Variables & Data Types",400,"b","Correct",1200
"GAME2","P1-77ce50","Score Updated","2025-11-27T11:53:19.070021Z",,,,,1200
"GAME2","P2-fa28ea","Select Player Turn","2025-11-27T11:53:19.071088400Z",,,,,-500
"GAME2","P2-fa28ea","Select Category","2025-11-27T11:53:22.309675500Z","Variables & Data Types",,,,-500
"GAME2","P2-fa28ea","Select Question","2025-11-27T11:53:25.697637500Z","Variables & Data Types",500,,,-500
"GAME2","P2-fa28ea","Answer Question","2025-11-27T11:53:31.565094500Z","Variables & Data Types",500,"b","Correct",0
"GAME2","P2-fa28ea","Score Updated","2025-11-27T11:53:31.565094500Z",,,,,0
"GAME2","P3-aca82d","Select Player Turn","2025-11-27T11:53:31.565094500Z",,,,,-600
"GAME2","P3-aca82d","Select Category","2025-11-27T11:53:34.892245600Z","Variables & Data Types",,,,-600
"GAME2","P3-aca82d","Select Question","2025-11-27T11:53:36.787967800Z","Variables & Data Types",200,,,-600
"GAME2","P3-aca82d","Answer Question","2025-11-27T11:53:41.632651200Z","Variables & Data Types",200,"b","Correct",-400
"GAME2","P3-aca82d","Score Updated","2025-11-27T11:53:41.632651200Z",,,,,-400
"GAME2","P1-77ce50","Select Player Turn","2025-11-27T11:53:41.634165400Z",,,,,1200
"GAME2","P1-77ce50","Select Category","2025-11-27T11:53:45.080153800Z","Variables & Data Types",,,,1200
"GAME2","P1-77ce50","Select Question","2025-11-27T11:53:47.008841700Z","Variables & Data Types",100,,,1200
"GAME2","P1-77ce50","Answer Question","2025-11-27T11:53:59.162142600Z","Variables & Data Types",100,"a","Correct",1300
"GAME2","P1-77ce50","Score Updated","2025-11-27T11:53:59.162142600Z",,,,,1300
"GAME2","P2-fa28ea","Select Player Turn","2025-11-27T11:53:59.162142600Z",,,,,0
"GAME2","P2-fa28ea","Select Category","2025-11-27T11:54:03.754665500Z","Variables & Data Types",,,,0
"GAME2","P3-aca82d","Select Player Turn","2025-11-27T11:54:03.754665500Z",,,,,-400
"GAME2","P3-aca82d","Select Category","2025-11-27T11:54:06.730865Z","Control Structures",,,,-400
"GAME2","P3-aca82d","Select Question","2025-11-27T11:54:08.984152Z","Control Structures",300,,,-400
"GAME2","P3-aca82d","Answer Question","2025-11-27T11:54:16.558625800Z","Control Structures",300,"d","Incorrect",-700
"GAME2","P3-aca82d","Score Updated","2025-11-27T11:54:16.558625800Z",,,,,-700
"GAME2","P1-77ce50","Select Player Turn","2025-11-27T11:54:16.560128400Z",,,,,1300
"GAME2","P1-77ce50","Select Category","2025-11-27T11:54:26.726230700Z","Control Structures",,,,1300
"GAME2","P1-77ce50","Select Question","2025-11-27T11:54:28.805038500Z","Control Structures",200,,,1300
"GAME2","P1-77ce50","Answer Question","2025-11-27T11:54:38.054346800Z","Control Structures",200,"d","Incorrect",1100
"GAME2","P1-77ce50","Score Updated","2025-11-27T11:54:38.054346800Z",,,,,1100
"GAME2","P2-fa28ea","Select Player Turn","2025-11-27T11:54:38.055387Z",,,,,0
"GAME2","P2-fa28ea","Select Category","2025-11-27T11:54:49.843965500Z","Arrays",,,,0
"GAME2","P2-fa28ea","Select Question","2025-11-27T11:54:51.607948400Z","Arrays",300,,,0
"GAME2","P2-fa28ea","Answer Question","2025-11-27T11:54:59.764707200Z","Arrays",300,"c","Correct",300
"GAME2","P2-fa28ea","Score Updated","2025-11-27T11:54:59.764707200Z",,,,,300
"GAME2","P3-aca82d","Select Player Turn","2025-11-27T11:54:59.766209100Z",,,,,-700
"GAME2","P3-aca82d","Select Category","2025-11-27T11:55:04.831687900Z","Functions",,,,-700
"GAME2","P3-aca82d","Select Question","2025-11-27T11:55:07.223163200Z","Functions",300,,,-700
"GAME2","P3-aca82d","Answer Question","2025-11-27T11:55:11.719701800Z","Functions",300,"a","Correct",-400
"GAME2","P3-aca82d","Score Updated","2025-11-27T11:55:11.719701800Z",,,,,-400
"GAME2","P1-77ce50","Select Player Turn","2025-11-27T11:55:11.720708700Z",,,,,1100
"GAME2","P1-77ce50","Select Category","2025-11-27T11:55:16.939942600Z","File Handling",,,,1100
"GAME2","P1-77ce50","Select Question","2025-11-27T11:55:18.389575900Z","File Handling",300,,,1100
"GAME2","P1-77ce50","Answer Question","2025-11-27T11:55:23.864398200Z","File Handling",300,"c","Correct",1400
"GAME2","P1-77ce50","Score Updated","2025-11-27T11:55:23.864398200Z",,,,,1400
"GAME2","P2-fa28ea","Select Player Turn","2025-11-27T11:55:23.864398200Z",,,,,300
"GAME2","P2-fa28ea","Select Category","2025-11-27T11:55:27.232405600Z","Variables & Data Types",,,,300
"GAME2","P3-aca82d","Select Player Turn","2025-11-27T11:55:27.232405600Z",,,,,-400
"GAME2","P3-aca82d","Select Category","2025-11-27T11:55:29.407902400Z","Arrays",,,,-400
"GAME2","P3-aca82d","Select Question","2025-11-27T11:55:30.760292200Z","Arrays",200,,,-400
"GAME2","P3-aca82d","Answer Question","2025-11-27T11:55:35.276234200Z","Arrays",200,"b","Correct",-200
"GAME2","P3-aca82d","Score Updated","2025-11-27T11:55:35.276234200Z",,,,,-200
"GAME2","P1-77ce50","Select Player Turn","2025-11-27T11:55:35.276234200Z",,,,,1400
"GAME2","P1-77ce50","Select Category","2025-11-27T11:55:41.509791500Z","Functions",,,,1400
"GAME2","P1-77ce50","Select Question","2025-11-27T11:55:43.391081200Z","Functions",400,,,1400
"GAME2","P1-77ce50","Answer Question","2025-11-27T11:55:48.821193900Z","Functions",400,"b","Correct",1800
